# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
28530,10956,0,0,0,0,0
28528,10957,0,0,0,0,0
28526,10956,0,0,0,0,0
28524,10957,0,0,0,0,0
28522,10959,0,0,0,0,0
28520,10958,0,0,0,0,0
28521,10959,0,0,0,0,0
28519,10959,0,0,0,0,0
28518,10959,0,0,0,0,0
28517,10960,0,0,0,0,0
28516,10960,0,0,0,0,0
28515,10960,0,0,0,0,0
28514,10961,0,0,0,0,0
28513,10962,0,0,0,0,0
28513,10961,0,0,0,0,0
28511,10963,0,0,0,0,0
28512,10963,0,0,0,0,0
28514,10963,0,0,0,0,0
28516,10962,0,0,0,0,0
28512,10961,0,0,0,0,0
28512,10961,0,0,0,0,0
28511,10963,0,0,0,0,0
28511,10961,0,0,0,0,0
28510,10964,0,0,0,0,0
28511,10964,0,0,0,0,0
28510,10960,0,0,0,0,0
28512,10959,0,0,0,0,0
28511,10958,0,0,0,0,0
28511,10959,0,0,0,0,0
28512,10960,0,0,0,0,0
28514,10960,0,0,0,0,0
28511,10958,0,0,0,0,0
28512,10959,0,0,0,0,0
28511,10958,0,0,0,0,0
28511,10957,0,0,0,0,0
28511,10958,0,0,0,0,0
28512,10958,0,0,0,0,0
28511,10955,0,0,0,0,0
28512,10954,0,0,0,0,0
28512,10958,0,0,0,0,0
28511,10957,0,0,0,0,0
28512,10956,0,0,0,0,0
28512,10957,0,0,0,0,0
28512,10952,0,0,0,0,0
28513,10953,0,0,0,0,0
28513,10955,0,0,0,0,0
28513,10957,0,0,0,0,0
28512,10957,0,0,0,0,0
28514,10954,0,0,0,0,0
28512,10956,0,0,0,0,0
28513,10956,0,0,0,0,0
28512,10957,0,0,0,0,0
28514,10958,0,0,0,0,0
28514,10958,0,0,0,0,0
28515,10958,0,0,0,0,0
28515,10957,0,0,0,0,0
28516,10957,0,0,0,0,0
28516,10957,0,0,0,0,0
28517,10959,0,0,0,0,0
28516,10960,0,0,0,0,0
28519,10962,0,0,0,0,0
28521,10963,0,0,0,0,0
28521,10963,0,0,0,0,0
28522,10965,0,0,0,0,0
28524,10967,0,0,0,0,0
28525,10969,0,0,0,0,0
28529,10970,0,0,0,0,0
28531,10971,0,0,0,0,0
28533,10974,0,0,0,0,0
28535,10976,0,0,0,0,0
28538,10979,0,0,0,0,0
28541,10982,0,0,0,0,0
28544,10985,0,0,0,0,0
28547,10987,0,0,0,0,0
28549,10989,0,0,0,0,0
28550,10991,0,0,0,0,0
28551,10992,0,0,0,0,0
28553,10994,0,0,0,0,0
28553,10998,0,0,0,0,0
28553,11003,0,0,0,0,0
28552,11007,0,0,0,0,0
28552,11008,0,0,0,0,0
28551,11010,0,0,0,0,0
28550,11011,0,0,0,0,0
28549,11012,0,0,0,0,0
28548,11012,0,0,0,0,0
28548,11014,0,0,0,0,0
28547,11014,0,0,0,0,0
28545,11015,0,0,0,0,0
28546,11016,0,0,0,0,0
28546,11014,0,0,0,0,0
28546,11015,0,0,0,0,0
28544,11016,0,0,0,0,0
28545,11016,0,0,0,0,0
28543,11018,0,0,0,0,0
28544,11016,0,0,0,0,0
28541,11017,0,0,0,0,0
28542,11018,0,0,0,0,0
28541,11018,0,0,0,0,0
28537,11018,0,0,0,0,0
28535,11018,0,0,0,0,0
28535,11016,0,0,0,0,0
28533,11021,0,0,0,0,0
28533,11022,0,0,0,0,0
28532,11024,0,0,0,0,0
28531,11023,0,0,0,0,0
28530,11024,0,0,0,0,0
28532,11022,0,0,0,0,0
28531,11024,0,0,0,0,0
28530,11024,0,0,0,0,0
28527,11026,0,0,0,0,0
28524,11028,0,0,0,0,0
28524,11029,0,0,0,0,0
28523,11028,0,0,0,0,0
28522,11029,0,0,0,0,0
28521,11031,0,0,0,0,0
28521,11030,0,0,0,0,0
28523,11030,0,0,0,0,0
28523,11029,0,0,0,0,0
28523,11033,0,0,0,0,0
28523,11032,0,0,0,0,0
28524,11032,0,0,0,0,0
28526,11031,0,0,0,0,0
28527,11030,0,0,0,0,0
28524,11027,0,0,0,0,0
28525,11031,0,0,0,0,0
28527,11032,0,0,0,0,0
28528,11032,0,0,0,0,0
28527,11033,0,0,0,0,0
28526,11033,0,0,0,0,0
28528,11031,0,0,0,0,0
28525,11029,0,0,0,0,0
28524,11031,0,0,0,0,0
28522,11030,0,0,0,0,0
28521,11030,0,0,0,0,0
