# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28132,10760,0,0,0,0,0,1
28134,10757,0,0,0,0,0,1
28130,10752,0,0,0,0,0,1
28126,10749,0,0,0,0,0,1
28123,10747,0,0,0,0,0,1
28121,10748,0,0,0,0,0,1
28122,10749,0,0,0,0,0,1
28120,10749,0,0,0,0,0,1
28120,10747,0,0,0,0,0,1
28120,10747,0,0,0,0,0,1
28117,10747,0,0,0,0,0,1
28113,10744,0,0,0,0,0,1
28114,10745,0,0,0,0,0,1
28113,10746,0,0,0,0,0,1
28111,10744,0,0,0,0,0,1
28107,10742,0,0,0,0,0,1
28103,10739,0,0,0,0,0,1
28099,10737,0,0,0,0,0,1
28096,10736,0,0,0,0,0,1
28094,10737,0,0,0,0,0,1
28094,10738,0,0,0,0,0,1
28091,10738,0,0,0,0,0,1
28089,10737,0,0,0,0,0,1
28088,10736,0,0,0,0,0,1
28091,10737,0,0,0,0,0,1
28090,10739,0,0,0,0,0,1
28088,10740,0,0,0,0,0,1
28087,10739,0,0,0,0,0,1
28087,10739,0,0,0,0,0,1
28088,10741,0,0,0,0,0,1
28087,10744,0,0,0,0,0,1
28090,10743,0,0,0,0,0,1
28085,10742,0,0,0,0,0,1
28082,10741,0,0,0,0,0,1
28079,10743,0,0,0,0,0,1
28075,10746,0,0,0,0,0,1
28070,10749,0,0,0,0,0,1
28069,10752,0,0,0,0,0,1
28066,10754,0,0,0,0,0,1
28067,10754,0,0,0,0,0,1
28070,10755,0,0,0,0,0,1
28067,10755,0,0,0,0,0,1
28067,10754,0,0,0,0,0,1
28067,10753,0,0,0,0,0,1
28068,10755,0,0,0,0,0,1
28067,10755,0,0,0,0,0,1
28063,10754,0,0,0,0,0,1
28060,10751,0,0,0,0,0,1
28059,10748,0,0,0,0,0,1
28057,10747,0,0,0,0,0,1
28054,10748,0,0,0,0,0,1
28056,10748,0,0,0,0,0,1
28057,10752,0,0,0,0,0,1
28055,10750,0,0,0,0,0,1
28057,10749,0,0,0,0,0,1
28061,10750,0,0,0,0,0,1
28060,10749,0,0,0,0,0,1
28061,10748,0,0,0,0,0,1
28061,10747,0,0,0,0,0,1
28062,10747,0,0,0,0,0,1
28063,10748,0,0,0,0,0,1
28063,10748,0,0,0,0,0,1
28063,10748,0,0,0,0,0,1
28063,10749,0,0,0,0,0,1
28063,10748,0,0,0,0,0,1
28063,10748,0,0,0,0,0,1
28062,10747,0,0,0,0,0,1
28062,10747,0,0,0,0,0,1
28061,10747,0,0,0,0,0,1
28061,10747,0,0,0,0,0,1
28062,10747,0,0,0,0,0,1
28064,10746,0,0,0,0,0,1
28063,10747,0,0,0,0,0,1
28061,10746,0,0,0,0,0,1
28056,10747,0,0,0,0,0,1
28057,10745,0,0,0,0,0,1
28059,10749,0,0,0,0,0,1
28058,10750,0,0,0,0,0,1
28058,10751,0,0,0,0,0,1
28059,10751,0,0,0,0,0,1
28059,10752,0,0,0,0,0,1
28058,10754,0,0,0,0,0,1
28060,10754,0,0,0,0,0,1
28063,10753,0,0,0,0,0,1
28063,10752,0,0,0,0,0,1
28067,10751,0,0,0,0,0,1
28067,10751,0,0,0,0,0,1
28067,10751,0,0,0,0,0,1
28067,10751,0,0,0,0,0,1
28070,10751,0,0,0,0,0,1
28067,10750,0,0,0,0,0,1
28067,10751,0,0,0,0,0,1
28066,10750,0,0,0,0,0,1
28064,10749,0,0,0,0,0,1
28064,10751,0,0,0,0,0,1
28063,10754,0,0,0,0,0,1
28062,10758,0,0,0,0,0,1
28061,10762,0,0,0,0,0,1
28062,10762,0,0,0,0,0,1
28062,10763,0,0,0,0,0,1
28062,10767,0,0,0,0,0,1
