0,0,0
-3.92907023e-05,-1.17841268,-1.3450287e-05
1.64626145,-1.05814803,7.84387207
1.64626145,-1.05814803,7.84387207
1.64626145,-1.05814803,7.84387207
1.64653015,-1.05809271,7.84293127
1.64653015,-1.05809271,7.84293127
1.64708102,-1.05815232,7.84418106
1.64790058,-1.05815709,7.84449053
1.64734972,-1.05809748,7.84324026
1.64597929,-1.05803359,7.841681
1.64380288,-1.05813468,7.84294462
1.64135754,-1.05829108,7.84514856
1.63636172,-1.05844545,7.84329367
1.63390303,-1.05852795,7.84236574
1.63105309,-1.0584985,7.84317303
1.6264044,-1.05846322,7.84037733
1.61897302,-1.06083047,7.83822966
1.6155262,-1.06358612,7.83430147
1.61033773,-1.06281519,7.83080864
1.60433173,-1.06491995,7.82958508
1.59702194,-1.06845641,7.82487583
1.59702194,-1.06845641,7.82487583
1.59372854,-1.06880808,7.82185125
1.58879983,-1.06620359,7.81686831
1.58771098,-1.06663275,7.81749868
1.58460617,-1.066957,7.81760406
1.58052087,-1.0695436,7.82015276
1.57341433,-1.06789804,7.81643105
1.56917226,-1.06991494,7.81885099
1.56256974,-1.07068896,7.81950235
1.55793238,-1.0712893,7.81983471
1.55412793,-1.07196212,7.82109642
1.54867053,-1.07157922,7.82111835
1.54272497,-1.07371867,7.8264184
1.5407145,-1.07611525,7.83068943
1.53910506,-1.07858896,7.83643723
1.53693628,-1.08075047,7.8408227
1.53291428,-1.08248663,7.84615326
1.53074276,-1.08336902,7.85021973
1.52912378,-1.08358598,7.85585308
1.52667415,-1.08380961,7.85804939
1.5229423,-1.08480442,7.86212015
1.52158248,-1.08551109,7.86368752
1.51940238,-1.08662307,7.86494493
1.51724899,-1.087816,7.86968136
1.5167197,-1.08917069,7.87468529
1.5200007,-1.08779883,7.87592697
1.52285886,-1.08934355,7.88132286
1.52424049,-1.09117842,7.88600969
1.52570426,-1.09088433,7.88538361
1.52397072,-1.09161234,7.88694859
1.52152061,-1.0928483,7.88914442
1.51878965,-1.09318352,7.88915157
1.51601052,-1.09415078,7.89268112
1.51221061,-1.09499526,7.89957047
1.50922012,-1.0954988,7.90364265
1.50622952,-1.09600329,7.90771484
1.50406599,-1.09597301,7.90851784
1.5010643,-1.09586143,7.90946198
1.49752247,-1.09554577,7.9122839
1.49452043,-1.09543467,7.91322756
1.49616182,-1.0953722,7.91384983
1.49726319,-1.09510517,7.91634941
1.49699318,-1.09500265,7.91728783
1.49769056,-1.09472835,7.92085981
1.49742067,-1.09470737,7.92179823
1.4949801,-1.09464633,7.92711926
1.492764,-1.09471333,7.92852831
1.49195409,-1.09488261,7.93134403
