0,0,0
-8.19950676,-1.2022903,1.91509163
-8.20180321,-1.20298767,1.91640389
-8.20311546,-1.20371819,1.91821313
-8.20358372,-1.20345783,1.91607201
-8.20381737,-1.20332718,1.91500151
-8.20248508,-1.2024554,1.91346991
-8.20235538,-1.20213342,1.91204369
-8.20493698,-1.20290935,1.91267061
-8.20674706,-1.20238435,1.90959525
-8.20785618,-1.20276201,1.90973067
-8.20399094,-1.20123982,1.90455222
-8.20530415,-1.2016108,1.90636075
-8.20685101,-1.20185494,1.90709901
-8.20943165,-1.20253742,1.90772569
-8.21232128,-1.20333135,1.907529
-8.21451092,-1.20502985,1.91054249
-8.21874428,-1.20590103,1.90941
-8.22176933,-1.20607471,1.90876937
-8.22398949,-1.20617533,1.90903902
-8.22422218,-1.20580482,1.90796888
-8.22600365,-1.20569515,1.90763605
-8.22667599,-1.20553541,1.90716839
-8.22836971,-1.20597351,1.90803254
-8.23038483,-1.20554245,1.90662944
-8.2288084,-1.20626628,1.9086349
-8.23190498,-1.20715129,1.9101088
-8.23301506,-1.20730007,1.91024327
-8.23386288,-1.2090534,1.91419065
-8.23704338,-1.2095257,1.91647708
-8.23900127,-1.20939839,1.92055929
-8.24167538,-1.20837879,1.92370844
-8.24342918,-1.20773602,1.92611778
-8.24606895,-1.20679379,1.92974341
-8.24714947,-1.20636845,1.93262136
-8.24914074,-1.2046299,1.93609452
-8.24867058,-1.20397568,1.93823683
-8.25065899,-1.2028656,1.9395752
-8.24989796,-1.20250022,1.94125819
-8.24867058,-1.20397568,1.93823683
-8.24843597,-1.20364714,1.93930805
-8.24463177,-1.20416498,1.94104934
-8.24919224,-1.20175016,1.94447219
-8.24784565,-1.20177495,1.94541001
-8.24737549,-1.20127523,1.94755304
-8.24532223,-1.20055044,1.95170581
-8.24305439,-1.20056581,1.95445561
-8.2392149,-1.20079136,1.95894468
-8.23917961,-1.20043373,1.96169174
-8.23820972,-1.20045125,1.96323478
-8.23841095,-1.20017898,1.96490991
-8.23978329,-1.19963646,1.96671724
-8.23834038,-1.19946611,1.97040534
-8.23719025,-1.19946122,1.97314024
-8.23449326,-1.19983411,1.97780478
-8.23021221,-1.20061326,1.98169422
-8.22795296,-1.20100236,1.98417556
-8.226367,-1.20126271,1.98618758
-8.22299671,-1.20191121,1.98853505
-8.22097397,-1.20230031,1.9899435
-8.21893501,-1.20261014,1.99070573
-8.21647739,-1.20259202,1.99127483
-8.21310711,-1.20218241,1.99362206
-8.20862675,-1.20181096,1.99583471
-8.20593071,-1.20148337,1.99771237
-8.20236301,-1.20139706,1.99838161
-8.19893456,-1.20119858,1.99905097
-8.19493198,-1.20094824,1.99911511
-8.19070721,-1.20050323,1.99878466
-8.18627071,-1.19980705,1.99824309
-8.18496513,-1.19974029,1.99642932
-8.18298626,-1.19952142,1.9950844
-8.17968464,-1.19927263,1.9936018
-8.1795454,-1.19929039,1.99329901
-8.17803097,-1.19941378,1.98915601
-8.17716026,-1.19955969,1.98794675
-8.17565727,-1.20019245,1.98445487
-8.17280769,-1.20028782,1.98190033
-8.16994762,-1.20040619,1.97933495
-8.16599083,-1.20034325,1.97664344
-8.15973091,-1.2003175,1.97427428
-8.15621281,-1.20032287,1.97348702
-8.14913559,-1.20018125,1.97206068
-8.14538002,-1.20020795,1.97094405
-8.14274788,-1.20022094,1.96859705
-8.13808632,-1.20008111,1.968045
-8.13389874,-1.20008063,1.96642184
-8.1305809,-1.19999242,1.96600866
-8.12625313,-1.19970751,1.96555173
-8.12087822,-1.1992445,1.9665395
-8.11578655,-1.19892263,1.96645391
-8.11120033,-1.19873512,1.96425259
-8.10413837,-1.19822586,1.96281493
-8.10228634,-1.19825864,1.96039176
-8.09719944,-1.19815469,1.96030271
-8.09305859,-1.19803274,1.9587115
-8.09045792,-1.19799125,1.95507586
-8.08584595,-1.19784439,1.95283961
-8.08088207,-1.19748414,1.95004201
-8.07296467,-1.19683158,1.94459426
-8.06965637,-1.19663703,1.94417369
-8.06571865,-1.19643867,1.94146824
-8.06223297,-1.19623005,1.93936837
-8.05922031,-1.19599414,1.93793225
-8.05595303,-1.19562554,1.93475974
-8.05178165,-1.19517863,1.93318594
-8.04583549,-1.1945231,1.92907262
-8.04013348,-1.19404197,1.92668772
-8.03773403,-1.19382167,1.92472649
-8.03353024,-1.19353187,1.92305219
-8.03003216,-1.19332635,1.92094851
-8.02676868,-1.19313228,1.91777301
-8.02311039,-1.19285941,1.91391623
-8.01874828,-1.19264579,1.91059792
-8.01858807,-1.19279218,1.90617108
-8.01685524,-1.19274771,1.90374112
-8.01492691,-1.19275725,1.89963675
-8.01299858,-1.19276631,1.89553261
-8.01236725,-1.19257331,1.89357483
-8.01130295,-1.19212556,1.89068437
-8.01094055,-1.19132209,1.88458323
-8.00927162,-1.19073784,1.88331628
-8.00901985,-1.19012213,1.88132465
-8.00885487,-1.18840599,1.87690163
-8.00711727,-1.18496692,1.87288845
-8.00518608,-1.18086374,1.86878633
-8.00039291,-1.1722182,1.86486065
-7.99886799,-1.17039883,1.86190116
-7.99780226,-1.16922295,1.85901237
-7.993783,-1.16598439,1.85533154
-7.99161911,-1.16592622,1.85229897
-7.98739338,-1.20987236,1.85034966
-7.98283148,-1.20277143,1.8487227
-7.97750044,-1.17729461,1.8436445
-7.97467327,-1.17929304,1.84107327
-7.9718461,-1.18129003,1.83850193
-7.97032356,-1.18306887,1.83602571
-7.9685688,-1.18308377,1.83487487
-7.96736574,-1.18291342,1.83305454
-7.96676159,-1.1826607,1.82802939
-7.96503115,-1.18242085,1.82560289
-7.9633007,-1.182181,1.82317626
-7.96123981,-1.18210745,1.82171786
-7.95864439,-1.18205976,1.81807792
-7.95717335,-1.18162739,1.81200111
-7.95430326,-1.18086708,1.80791247
-7.95061207,-1.17987573,1.80412722
-7.94928646,-1.17901576,1.80105042
-7.94669914,-1.17697811,1.79712522
-7.94367075,-1.17514277,1.79287887
-7.940413,-1.17314243,1.78969955
-7.93825006,-1.17183208,1.78666639
-7.93783474,-1.17051649,1.78482044
-7.93479872,-1.15658295,1.7830987
-7.93296337,-1.15016603,1.7806865
-7.92942667,-1.1446557,1.77694499
-7.92703581,-1.14225483,1.77497804
-7.92222881,-1.1349287,1.77378321
-7.91383839,-1.19997215,1.77485311
-7.91165209,-1.20441723,1.77455842
-7.90903378,-1.20949507,1.77365661
-7.90584326,-1.21103632,1.77199781
