# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
34877,13391,0,1,0,0,0
34872,13390,0,1,0,0,0
34871,13390,0,1,0,0,0
34858,13380,0,1,0,0,0
34856,13376,0,1,0,0,0
34852,13373,0,1,0,0,0
34849,13367,0,1,0,0,0
34847,13362,0,1,0,0,0
34842,13354,0,1,0,0,0
34838,13348,0,1,0,0,0
34836,13345,0,1,0,0,0
34834,13342,0,1,0,0,0
34830,13339,0,1,0,0,0
34827,13332,0,1,0,0,0
34826,13326,0,1,0,0,0
34824,13320,0,1,0,0,0
34820,13316,0,1,0,0,0
34818,13310,0,1,0,0,0
34816,13306,0,1,0,0,0
34817,13305,0,1,0,0,0
34814,13305,0,1,0,0,0
34813,13299,0,1,0,0,0
34809,13295,0,1,0,0,0
34810,13288,0,1,0,0,0
34810,13281,0,1,0,0,0
34809,13275,0,1,0,0,0
34812,13269,0,1,0,0,0
34812,13262,0,1,0,0,0
34813,13257,0,1,0,0,0
34814,13253,0,1,0,0,0
34815,13250,0,1,0,0,0
34815,13246,0,1,0,0,0
34815,13241,0,1,0,0,0
34816,13235,0,1,0,0,0
34821,13231,0,1,0,0,0
34817,13231,0,1,0,0,0
34817,13230,0,1,0,0,0
34823,13229,0,1,0,0,0
34828,13228,0,1,0,0,0
34833,13224,0,1,0,0,0
34836,13221,0,1,0,0,0
34837,13217,0,1,0,0,0
34838,13213,0,1,0,0,0
34839,13210,0,1,0,0,0
34841,13205,0,1,0,0,0
34842,13204,0,1,0,0,0
34844,13204,0,1,0,0,0
34844,13205,0,1,0,0,0
34844,13206,0,1,0,0,0
34845,13206,0,1,0,0,0
34846,13204,0,1,0,0,0
34847,13198,0,1,0,0,0
34849,13200,0,1,0,0,0
34854,13198,0,1,0,0,0
34856,13193,0,1,0,0,0
34858,13190,0,1,0,0,0
34860,13185,0,1,0,0,0
34862,13181,0,1,0,0,0
34865,13176,0,1,0,0,0
34869,13170,0,1,0,0,0
34871,13166,0,1,0,0,0
34873,13162,0,1,0,0,0
34874,13159,0,1,0,0,0
34877,13154,0,1,0,0,0
34881,13148,0,1,0,0,0
34883,13143,0,1,0,0,0
34886,13137,0,1,0,0,0
34891,13132,0,1,0,0,0
34894,13127,0,1,0,0,0
34897,13123,0,1,0,0,0
34899,13120,0,1,0,0,0
34899,13116,0,1,0,0,0
34900,13112,0,1,0,0,0
34901,13106,0,1,0,0,0
34903,13100,0,1,0,0,0
34904,13094,0,1,0,0,0
34908,13086,0,1,0,0,0
34910,13082,0,1,0,0,0
34912,13076,0,1,0,0,0
34910,13072,0,1,0,0,0
34914,13071,0,1,0,0,0
34917,13071,0,1,0,0,0
34919,13070,0,1,0,0,0
34921,13067,0,1,0,0,0
34924,13063,0,1,0,0,0
34927,13057,0,1,0,0,0
34931,13052,0,1,0,0,0
34934,13047,0,1,0,0,0
34934,13043,0,1,0,0,0
34932,13037,0,1,0,0,0
34931,13032,0,1,0,0,0
34933,13025,0,1,0,0,0
34936,13023,0,1,0,0,0
34939,13018,0,1,0,0,0
34941,13014,0,1,0,0,0
34941,13016,0,1,0,0,0
34943,13012,0,1,0,0,0
34941,13006,0,1,0,0,0
34943,13008,0,1,0,0,0
34945,13010,0,1,0,0,0
34947,13012,0,1,0,0,0
34946,13011,0,1,0,0,0
34948,13013,0,1,0,0,0
34950,13036,0,1,0,0,0
34952,13033,0,1,0,0,0
34952,13027,0,1,0,0,0
34956,13023,0,1,0,0,0
34960,13023,0,1,0,0,0
34961,13022,0,1,0,0,0
34962,13021,0,1,0,0,0
34960,13019,0,1,0,0,0
34959,13015,0,1,0,0,0
34959,13014,0,1,0,0,0
34960,13011,0,1,0,0,0
34961,13007,0,1,0,0,0
34962,13003,0,1,0,0,0
34961,12998,0,1,0,0,0
34959,12992,0,1,0,0,0
34959,12991,0,1,0,0,0
34958,12991,0,1,0,0,0
34958,12989,0,1,0,0,0
34958,12989,0,1,0,0,0
34959,12987,0,1,0,0,0
34960,12982,0,1,0,0,0
34963,12977,0,1,0,0,0
34963,12974,0,1,0,0,0
34965,12970,0,1,0,0,0
34968,12967,0,1,0,0,0
34970,12964,0,1,0,0,0
34969,12961,0,1,0,0,0
34969,12958,0,1,0,0,0
34970,12954,0,1,0,0,0
34973,12947,0,1,0,0,0
34972,12940,0,1,0,0,0
34971,12933,0,1,0,0,0
34972,12927,0,1,0,0,0
34974,12921,0,1,0,0,0
34974,12917,0,1,0,0,0
34975,12911,0,1,0,0,0
34976,12906,0,1,0,0,0
34976,12900,0,1,0,0,0
34976,12893,0,1,0,0,0
34976,12887,0,1,0,0,0
34976,12879,0,1,0,0,0
34975,12875,0,1,0,0,0
34978,12873,0,1,0,0,0
34979,12868,0,1,0,0,0
34979,12870,0,1,0,0,0
34980,12869,0,1,0,0,0
34982,12871,0,1,0,0,0
34979,12867,0,1,0,0,0
34978,12864,0,1,0,0,0
34979,12862,0,1,0,0,0
34981,12862,0,1,0,0,0
34982,12861,0,1,0,0,0
34987,12862,0,1,0,0,0
34992,12859,0,1,0,0,0
34993,12854,0,1,0,0,0
34995,12852,0,1,0,0,0
34996,12850,0,1,0,0,0
34999,12845,0,1,0,0,0
35001,12840,0,1,0,0,0
35002,12834,0,1,0,0,0
35003,12829,0,1,0,0,0
35007,12825,0,1,0,0,0
35011,12822,0,1,0,0,0
35013,12819,0,1,0,0,0
35013,12817,0,1,0,0,0
35014,12812,0,1,0,0,0
35014,12807,0,1,0,0,0
35014,12802,0,1,0,0,0
35012,12796,0,1,0,0,0
35012,12790,0,1,0,0,0
35013,12785,0,1,0,0,0
35012,12780,0,1,0,0,0
35012,12775,0,1,0,0,0
35012,12769,0,1,0,0,0
35013,12763,0,1,0,0,0
35012,12755,0,1,0,0,0
35013,12750,0,1,0,0,0
35014,12746,0,1,0,0,0
35013,12742,0,1,0,0,0
35014,12738,0,1,0,0,0
35013,12732,0,1,0,0,0
35011,12725,0,1,0,0,0
35010,12717,0,1,0,0,0
35010,12712,0,1,0,0,0
35008,12706,0,1,0,0,0
35005,12701,0,1,0,0,0
35001,12697,0,1,0,0,0
34997,12692,0,1,0,0,0
34995,12686,0,1,0,0,0
34990,12681,0,1,0,0,0
34987,12676,0,1,0,0,0
34986,12670,0,1,0,0,0
34984,12662,0,1,0,0,0
34984,12655,0,1,0,0,0
34982,12650,0,1,0,0,0
34982,12646,0,1,0,0,0
34980,12639,0,1,0,0,0
34981,12630,0,1,0,0,0
34982,12623,0,1,0,0,0
34985,12615,0,1,0,0,0
34986,12605,0,1,0,0,0
34986,12601,0,1,0,0,0
34985,12598,0,1,0,0,0
34987,12593,0,1,0,0,0
34988,12590,0,1,0,0,0
34990,12584,0,1,0,0,0
34988,12584,0,1,0,0,0
34989,12577,0,1,0,0,0
34990,12570,0,1,0,0,0
34990,12562,0,1,0,0,0
34991,12554,0,1,0,0,0
34995,12548,0,1,0,0,0
34996,12541,0,1,0,0,0
34997,12535,0,1,0,0,0
34997,12528,0,1,0,0,0
34998,12520,0,1,0,0,0
35000,12513,0,1,0,0,0
35000,12506,0,1,0,0,0
35001,12501,0,1,0,0,0
35001,12498,0,1,0,0,0
35000,12493,0,1,0,0,0
34999,12488,0,1,0,0,0
35000,12483,0,1,0,0,0
34998,12477,0,1,0,0,0
35000,12471,0,1,0,0,0
35000,12467,0,1,0,0,0
35000,12463,0,1,0,0,0
35003,12459,0,1,0,0,0
35007,12456,0,1,0,0,0
35012,12451,0,1,0,0,0
35015,12447,0,1,0,0,0
35018,12443,0,1,0,0,0
35021,12438,0,1,0,0,0
35023,12434,0,1,0,0,0
35024,12429,0,1,0,0,0
35025,12426,0,1,0,0,0
35024,12421,0,1,0,0,0
35023,12417,0,1,0,0,0
35020,12413,0,1,0,0,0
35019,12414,0,1,0,0,0
35016,12410,0,1,0,0,0
35018,12410,0,1,0,0,0
35018,12404,0,1,0,0,0
35018,12397,0,1,0,0,0
35019,12392,0,1,0,0,0
35017,12387,0,1,0,0,0
35017,12383,0,1,0,0,0
35015,12379,0,1,0,0,0
35016,12375,0,1,0,0,0
35016,12370,0,1,0,0,0
35018,12367,0,1,0,0,0
35019,12363,0,1,0,0,0
35020,12362,0,1,0,0,0
35018,12361,0,1,0,0,0
35019,12358,0,1,0,0,0
35018,12354,0,1,0,0,0
35016,12350,0,1,0,0,0
35013,12345,0,1,0,0,0
35010,12338,0,1,0,0,0
35006,12334,0,1,0,0,0
35003,12327,0,1,0,0,0
35002,12323,0,1,0,0,0
35001,12319,0,1,0,0,0
34998,12311,0,1,0,0,0
34996,12308,0,1,0,0,0
34996,12306,0,1,0,0,0
34996,12303,0,1,0,0,0
34996,12300,0,1,0,0,0
34997,12296,0,1,0,0,0
34997,12293,0,1,0,0,0
34995,12288,0,1,0,0,0
34994,12283,0,1,0,0,0
34991,12277,0,1,0,0,0
34987,12272,0,1,0,0,0
34986,12268,0,1,0,0,0
34983,12265,0,1,0,0,0
34984,12263,0,1,0,0,0
34984,12262,0,1,0,0,0
34985,12263,0,1,0,0,0
34982,12259,0,1,0,0,0
34982,12254,0,1,0,0,0
34978,12249,0,1,0,0,0
34978,12243,0,1,0,0,0
34977,12240,0,1,0,0,0
34978,12238,0,1,0,0,0
34977,12237,0,1,0,0,0
34978,12236,0,1,0,0,0
34978,12235,0,1,0,0,0
34975,12234,0,1,0,0,0
34974,12231,0,1,0,0,0
34975,12232,0,1,0,0,0
34975,12230,0,1,0,0,0
34975,12226,0,1,0,0,0
34975,12221,0,1,0,0,0
34973,12217,0,1,0,0,0
34969,12212,0,1,0,0,0
34967,12209,0,1,0,0,0
34966,12207,0,1,0,0,0
34964,12202,0,1,0,0,0
34964,12197,0,1,0,0,0
34964,12193,0,1,0,0,0
34963,12191,0,1,0,0,0
34961,12190,0,1,0,0,0
34964,12188,0,1,0,0,0
34959,12186,0,1,0,0,0
34953,12186,0,1,0,0,0
34948,12184,0,1,0,0,0
34945,12180,0,1,0,0,0
34941,12178,0,1,0,0,0
34939,12178,0,1,0,0,0
34938,12175,0,1,0,0,0
34940,12172,0,1,0,0,0
34940,12169,0,1,0,0,0
34936,12167,0,1,0,0,0
34937,12166,0,1,0,0,0
34933,12162,0,1,0,0,0
34930,12158,0,1,0,0,0
34926,12156,0,1,0,0,0
34925,12155,0,1,0,0,0
34924,12152,0,1,0,0,0
34924,12148,0,1,0,0,0
34924,12144,0,1,0,0,0
34925,12140,0,1,0,0,0
34926,12136,0,1,0,0,0
34927,12134,0,1,0,0,0
34925,12130,0,1,0,0,0
34922,12126,0,1,0,0,0
34920,12124,0,1,0,0,0
34921,12121,0,1,0,0,0
34917,12117,0,1,0,0,0
34914,12112,0,1,0,0,0
34911,12107,0,1,0,0,0
34908,12102,0,1,0,0,0
34910,12100,0,1,0,0,0
34908,12097,0,1,0,0,0
34905,12090,0,1,0,0,0
34902,12086,0,1,0,0,0
34900,12082,0,1,0,0,0
34896,12075,0,1,0,0,0
34892,12070,0,1,0,0,0
34889,12064,0,1,0,0,0
34886,12059,0,1,0,0,0
34883,12055,0,1,0,0,0
34879,12049,0,1,0,0,0
34877,12045,0,1,0,0,0
34875,12042,0,1,0,0,0
34871,12039,0,1,0,0,0
34870,12035,0,1,0,0,0
34871,12032,0,1,0,0,0
34873,12030,0,1,0,0,0
34871,12027,0,1,0,0,0
34870,12026,0,1,0,0,0
34864,12022,0,1,0,0,0
34865,12019,0,1,0,0,0
34863,12016,0,1,0,0,0
34862,12012,0,1,0,0,0
34860,12008,0,1,0,0,0
34860,12005,0,1,0,0,0
34858,12002,0,1,0,0,0
34855,11999,0,1,0,0,0
34851,11996,0,1,0,0,0
34847,11993,0,1,0,0,0
34843,11988,0,1,0,0,0
34838,11982,0,1,0,0,0
34837,11979,0,1,0,0,0
34837,11979,0,1,0,0,0
34837,11978,0,1,0,0,0
34834,11977,0,1,0,0,0
34829,11974,0,1,0,0,0
34822,11971,0,1,0,0,0
34821,11970,0,1,0,0,0
34820,11970,0,1,0,0,0
34818,11971,0,1,0,0,0
34812,11970,0,1,0,0,0
34807,11968,0,1,0,0,0
34802,11963,0,1,0,0,0
34795,11958,0,1,0,0,0
34791,11954,0,1,0,0,0
34785,11950,0,1,0,0,0
34781,11947,0,1,0,0,0
34774,11945,0,1,0,0,0
34768,11942,0,1,0,0,0
34764,11938,0,1,0,0,0
34760,11937,0,1,0,0,0
34755,11936,0,1,0,0,0
34749,11935,0,1,0,0,0
34743,11933,0,1,0,0,0
34738,11931,0,1,0,0,0
34732,11931,0,1,0,0,0
34726,11932,0,1,0,0,0
34722,11931,0,1,0,0,0
34716,11932,0,1,0,0,0
34712,11929,0,1,0,0,0
34706,11926,0,1,0,0,0
34702,11923,0,1,0,0,0
34696,11919,0,1,0,0,0
34690,11917,0,1,0,0,0
34683,11916,0,1,0,0,0
34679,11916,0,1,0,0,0
34676,11915,0,1,0,0,0
34661,11916,0,1,0,0,0
34659,11911,0,1,0,0,0
34658,11909,0,1,0,0,0
34649,11907,0,1,0,0,0
34641,11907,0,1,0,0,0
34635,11906,0,1,0,0,0
34626,11905,0,1,0,0,0
34618,11904,0,1,0,0,0
