# x,y,<bush>,<cookie>,<shadow>,<visibility>
28328,10542,0,0,0,0
28327,10541,0,0,0,0
28327,10537,0,0,0,0
28328,10537,0,0,0,0
28327,10533,0,0,0,0
28327,10530,0,0,0,0
28326,10527,0,0,0,0
28326,10522,0,0,0,0
28329,10517,0,0,0,0
28329,10515,0,0,0,0
28329,10514,0,0,0,0
28331,10514,0,0,0,0
28333,10513,0,0,0,0
28335,10512,0,0,0,0
28338,10511,0,0,0,0
28342,10508,0,0,0,0
28343,10508,0,0,0,0
28344,10510,0,0,0,0
28347,10511,0,0,0,0
28345,10511,0,0,0,0
28344,10511,0,0,0,0
28346,10510,0,0,0,0
28347,10509,0,0,0,0
28346,10508,0,0,0,0
28346,10507,0,0,0,0
28347,10505,0,0,0,0
28353,10506,0,0,0,0
28354,10505,0,0,0,0
28354,10504,0,0,0,0
28356,10503,0,0,0,0
28355,10503,0,0,0,0
28356,10501,0,0,0,0
28356,10501,0,0,0,0
28358,10500,0,0,0,0
28358,10499,0,0,0,0
28359,10497,0,0,0,0
28359,10497,0,0,0,0
28358,10495,0,0,0,0
28359,10494,0,0,0,0
28360,10492,0,0,0,0
28360,10490,0,0,0,0
28358,10489,0,0,0,0
28359,10485,0,0,0,0
28359,10482,0,0,0,0
28357,10479,0,0,0,0
28358,10475,0,0,0,0
28357,10471,0,0,0,0
28354,10467,0,0,0,0
28352,10464,0,0,0,0
28352,10459,0,0,0,0
28350,10456,0,0,0,0
28347,10452,0,0,0,0
28346,10449,0,0,0,0
28343,10446,0,0,0,0
28340,10442,0,0,0,0
28336,10439,0,0,0,0
28333,10438,0,0,0,0
28330,10437,0,0,0,0
28331,10436,0,0,0,0
28332,10436,0,0,0,0
28332,10436,0,0,0,0
28330,10436,0,0,0,0
28331,10436,0,0,0,0
28330,10435,0,0,0,0
28331,10436,0,0,0,0
28329,10436,0,0,0,0
28330,10436,0,0,0,0
28329,10437,0,0,0,0
28327,10436,0,0,0,0
28324,10435,0,0,0,0
28319,10436,0,0,0,0
28317,10437,0,0,0,0
28315,10438,0,0,0,0
28317,10437,0,0,0,0
28317,10438,0,0,0,0
28318,10438,0,0,0,0
28317,10438,0,0,0,0
28317,10438,0,0,0,0
28317,10439,0,0,0,0
28317,10439,0,0,0,0
28317,10439,0,0,0,0
28316,10440,0,0,0,0
28311,10441,0,0,0,0
28308,10442,0,0,0,0
28303,10441,0,0,0,0
28299,10444,0,0,0,0
28295,10446,0,0,0,0
28291,10447,0,0,0,0
28288,10443,0,0,0,0
28283,10443,0,0,0,0
28282,10445,0,0,0,0
28280,10446,0,0,0,0
28281,10444,0,0,0,0
28281,10446,0,0,0,0
28279,10447,0,0,0,0
28279,10446,0,0,0,0
28280,10447,0,0,0,0
28279,10447,0,0,0,0
28278,10445,0,0,0,0
28273,10441,0,0,0,0
28270,10435,0,0,0,0
28269,10434,0,0,0,0
28268,10431,0,0,0,0
28268,10429,0,0,0,0
28266,10428,0,0,0,0
28266,10427,0,0,0,0
28264,10425,0,0,0,0
28262,10425,0,0,0,0
28259,10426,0,0,0,0
28256,10425,0,0,0,0
28249,10425,0,0,0,0
28244,10422,0,0,0,0
28238,10423,0,0,0,0
28236,10425,0,0,0,0
28234,10421,0,0,0,0
28230,10421,0,0,0,0
28228,10419,0,0,0,0
28225,10416,0,0,0,0
28220,10416,0,0,0,0
28216,10416,0,0,0,0
28212,10413,0,0,0,0
28210,10410,0,0,0,0
28209,10410,0,0,0,0
28207,10409,0,0,0,0
28206,10408,0,0,0,0
