# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28038,10990,0,0,0,0,0,1
28036,10991,0,0,0,0,0,1
28030,10992,0,0,0,0,0,1
28025,10994,0,0,0,0,0,1
28021,10996,0,0,0,0,0,1
28016,10998,0,0,0,0,0,1
28011,11000,0,0,0,0,0,1
28006,11002,0,0,0,0,0,1
28002,11005,0,0,0,0,0,1
28000,11011,0,0,0,0,0,1
27999,11019,0,0,0,0,0,1
27997,11026,0,0,0,0,0,1
27995,11032,0,0,0,0,0,1
27992,11039,0,0,0,0,0,1
27989,11046,0,0,0,0,0,1
27988,11052,0,0,0,0,0,1
27985,11058,0,0,0,0,0,1
27981,11063,0,0,0,0,0,1
27978,11069,0,0,0,0,0,1
27976,11076,0,0,0,0,0,1
27972,11081,0,0,0,0,0,1
27969,11082,0,0,0,0,0,1
27963,11083,0,0,0,0,0,1
27957,11083,0,0,0,0,0,1
27950,11084,0,0,0,0,0,1
27945,11084,0,0,0,0,0,1
27940,11084,0,0,0,0,0,1
27935,11084,0,0,0,0,0,1
27931,11085,0,0,0,0,0,1
27926,11087,0,0,0,0,0,1
27922,11088,0,0,0,0,0,1
27918,11091,0,0,0,0,0,1
27915,11093,0,0,0,0,0,1
27912,11095,0,0,0,0,0,1
27908,11098,0,0,0,0,0,1
27904,11101,0,0,0,0,0,1
27900,11104,0,0,0,0,0,1
27893,11109,0,0,0,0,0,1
27888,11112,0,0,0,0,0,1
27886,11113,0,0,0,0,0,1
27884,11115,0,0,0,0,0,1
27885,11114,0,0,0,0,0,1
27882,11115,0,0,0,0,0,1
27882,11114,0,0,0,0,0,1
27882,11113,0,0,0,0,0,1
27882,11112,0,0,0,0,0,1
27881,11109,0,0,0,0,0,1
27880,11107,0,0,0,0,0,1
27880,11105,0,0,0,0,0,1
27878,11103,0,0,0,0,0,1
27878,11101,0,0,0,0,0,1
27877,11101,0,0,0,0,0,1
27877,11100,0,0,0,0,0,1
27877,11099,0,0,0,0,0,1
27877,11095,0,0,0,0,0,1
27879,11095,0,0,0,0,0,1
27880,11094,0,0,0,0,0,1
27881,11095,0,0,0,0,0,1
27881,11098,0,0,0,0,0,1
27881,11100,0,0,0,0,0,1
27878,11100,0,0,0,0,0,1
27873,11096,0,0,0,0,0,1
27866,11095,0,0,0,0,0,1
27863,11090,0,0,0,0,0,1
27862,11085,0,0,0,0,0,1
27857,11082,0,0,0,0,0,1
27850,11080,0,0,0,0,0,1
27849,11075,0,0,0,0,0,1
27848,11070,0,0,0,0,0,1
27847,11065,0,0,0,0,0,1
27846,11060,0,0,0,0,0,1
27844,11055,0,0,0,0,0,1
