28198,10643
28197,10639
28198,10637
28200,10638
28199,10640
28200,10638
28197,10640
28199,10638
28196,10639
28199,10636
28198,10636
28198,10636
28197,10636
28194,10638
28193,10638
28196,10636
28196,10636
28197,10636
28196,10636
28199,10633
28196,10635
28195,10637
28195,10636
28196,10637
28196,10637
28196,10638
28196,10638
28196,10638
28195,10637
28196,10638
28195,10637
28188,10636
28179,10630
28170,10625
28160,10620
28151,10615
28144,10610
28134,10607
28123,10603
28115,10597
28107,10592
28102,10594
28096,10591
28088,10591
28081,10595
28074,10591
28066,10584
28060,10580
28053,10578
28044,10578
28038,10575
28027,10575
28018,10574
28008,10575
27996,10581
27988,10582
27983,10586
27976,10588
27974,10587
27969,10589
27966,10587
27962,10585
27957,10583
27951,10580
27945,10578
27938,10575
27931,10573
27923,10570
27914,10568
27907,10565
27899,10564
27891,10561
27887,10559
27883,10557
27882,10553
27879,10551
27881,10548
27882,10547
27883,10542
27886,10539
27888,10535
27889,10531
27892,10528
27894,10526
27896,10522
27896,10518
27888,10514
27883,10511
27881,10506
27882,10503
27881,10502
27882,10503
27882,10503
27885,10502
27884,10503
27883,10503
27885,10504
27884,10504
27884,10504
27887,10506
27940,10488
27940,10486
27944,10483
27948,10479
27950,10477
27953,10475
27957,10472
27959,10469
27963,10466
27967,10463
27969,10460
27972,10456
27975,10452
27978,10448
27981,10441
27985,10437
27987,10430
27989,10424
27992,10418
27994,10413
27996,10407
28000,10399
28001,10394
28008,10390
28013,10384
28018,10378
28022,10372
28027,10365
28032,10358
28034,10351
28038,10343
28041,10336
28045,10329
28050,10324
28054,10320
28057,10314
28064,10308
28070,10305
28076,10300
28082,10295
28087,10291
28091,10285
28096,10280
28101,10273
28108,10268
28110,10263
28116,10258
28121,10254
28126,10252
28132,10248
28133,10242
28136,10235
28136,10233
28140,10230
28145,10226
28151,10222
28158,10218
28164,10214
28173,10211
28179,10207
28186,10202
28193,10196
28201,10190
28208,10184
28215,10182
28223,10178
28230,10174
28237,10169
28243,10167
28251,10164
28257,10164
28265,10161
28272,10158
28279,10157
28286,10156
28292,10154
28298,10153
28307,10152
28314,10151
28323,10150
28329,10149
28336,10146
28345,10144
28352,10140
28358,10138
28363,10133
28371,10128
28380,10124
28389,10120
28398,10118
28407,10113
28418,10108
28424,10104
28433,10099
28442,10093
28450,10088
28454,10083
28464,10078
28471,10073
28478,10070
28487,10069
28493,10065
28498,10065
28504,10063
28509,10061
28515,10057
28520,10054
28527,10054
28534,10053
28540,10052
28550,10051
28559,10050
28567,10047
28573,10048
28582,10050
28590,10052
28598,10054
28606,10054
28614,10055
28621,10058
28628,10057
28636,10055
28641,10054
28648,10052
28657,10049
28664,10047
28671,10043
28679,10038
28685,10035
28692,10032
28701,10030
28708,10027
28716,10025
28725,10027
28732,10025
28742,10023
28751,10025
28760,10024
28769,10026
28776,10025
28784,10023
28792,10023
28794,10022
28800,10021
28808,10020
28811,10021
28811,10022
28812,10023
28812,10022
28812,10022
28812,10024
28811,10023
28810,10022
28810,10024
28810,10023
28810,10023
28812,10023
28814,10021
28823,10016
28833,10012
28844,10009
28852,10004
28865,10001
28877,9994
28887,9987
28900,9981
28915,9975
28928,9967
28943,9957
28955,9952
28967,9945
28979,9936
28993,9927
29003,9918
29009,9910
29015,9901
29018,9895
29021,9889
29026,9879
29031,9871
29037,9863
29047,9857
29055,9852
29063,9849
29070,9844
29078,9839
29083,9835
29091,9831
29097,9829
29105,9825
29107,9824
29117,9818
29123,9813
29131,9807
29139,9802
29146,9797
29154,9789
29162,9783
29169,9779
29175,9777
29176,9777
29182,9770
29189,9766
29194,9764
29196,9759
29200,9753
29204,9745
29206,9740
29209,9732
29213,9723
29219,9714
29222,9708
29226,9702
29231,9696
29234,9690
29233,9687
29232,9680
29231,9672
29231,9668
29229,9665
29226,9660
29224,9655
29223,9650
29224,9647
29224,9644
29224,9642
29225,9634
29224,9632
29227,9628
29227,9627
29229,9624
29228,9619
29229,9619
29229,9620
29229,9619
29229,9620
29228,9619
29233,9614
29234,9610
29237,9606
29239,9597
29243,9590
29238,9584
29241,9575
29239,9566
29236,9555
29233,9551
29228,9547
29218,9536
29209,9527
29200,9518
29195,9512
29187,9505
29181,9493
29175,9478
29169,9465
29165,9457
29157,9444
