# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
27993,10756,0,0,0,0,0
27993,10756,0,0,0,0,0
27993,10755,0,0,0,0,0
27987,10760,0,0,0,0,0
27986,10760,0,0,0,0,0
27988,10761,0,0,0,0,0
27989,10764,0,0,0,0,0
27990,10767,0,0,0,0,0
27989,10768,0,0,0,0,0
27989,10769,0,0,0,0,0
27992,10768,0,0,0,0,0
27990,10765,0,0,0,0,0
27992,10764,0,0,0,0,0
27992,10765,0,0,0,0,0
27992,10764,0,0,0,0,0
27993,10764,0,0,0,0,0
27992,10764,0,0,0,0,0
27991,10764,0,0,0,0,0
27990,10767,0,0,0,0,0
27990,10767,0,0,0,0,0
27989,10768,0,0,0,0,0
27987,10769,0,0,0,0,0
27986,10773,0,0,0,0,0
27982,10775,0,0,0,0,0
27981,10776,0,0,0,0,0
27978,10777,0,0,0,0,0
27978,10779,0,0,0,0,0
27977,10778,0,0,0,0,0
27977,10778,0,0,0,0,0
27977,10778,0,0,0,0,0
27978,10774,0,0,0,0,0
27977,10774,0,0,0,0,0
27978,10772,0,0,0,0,0
27975,10774,0,0,0,0,0
27974,10775,0,0,0,0,0
27971,10774,0,0,0,0,0
27970,10775,0,0,0,0,0
27968,10777,0,0,0,0,0
27967,10778,0,0,0,0,0
27967,10777,0,0,0,0,0
27963,10775,0,0,0,0,0
27960,10774,0,0,0,0,0
27959,10772,0,0,0,0,0
27958,10772,0,0,0,0,0
27956,10774,0,0,0,0,0
27952,10775,0,0,0,0,0
27949,10774,0,0,0,0,0
27947,10773,0,0,0,0,0
27946,10774,0,0,0,0,0
27945,10774,0,0,0,0,0
27945,10772,0,0,0,0,0
27944,10774,0,0,0,0,0
27944,10772,0,0,0,0,0
27943,10774,0,0,0,0,0
27942,10774,0,0,0,0,0
27944,10772,0,0,0,0,0
27944,10775,0,0,0,0,0
27943,10777,0,0,0,0,0
27941,10776,0,0,0,0,0
27939,10777,0,0,0,0,0
27939,10779,0,0,0,0,0
27937,10780,0,0,0,0,0
27936,10783,0,0,0,0,0
27934,10785,0,0,0,0,0
27931,10788,0,0,0,0,0
27929,10790,0,0,0,0,0
27929,10792,0,0,0,0,0
27926,10794,0,0,0,0,0
27924,10796,0,0,0,0,0
27923,10801,0,0,0,0,0
27922,10803,0,0,0,0,0
27922,10806,0,0,0,0,0
27921,10808,0,0,0,0,0
27920,10811,0,0,0,0,0
27919,10813,0,0,0,0,0
27917,10815,0,0,0,0,0
27915,10817,0,0,0,0,0
27913,10820,0,0,0,0,0
27911,10822,0,0,0,0,0
27910,10824,0,0,0,0,0
27908,10827,0,0,0,0,0
27905,10829,0,0,0,0,0
27903,10833,0,0,0,0,0
27900,10836,0,0,0,0,0
27898,10836,0,0,0,0,0
27896,10836,0,0,0,0,0
27893,10839,0,0,0,0,0
27891,10840,0,0,0,0,0
27890,10840,0,0,0,0,0
27890,10840,0,0,0,0,0
27889,10840,0,0,0,0,0
27889,10840,0,0,0,0,0
27888,10844,0,0,0,0,0
27888,10844,0,0,0,0,0
27888,10845,0,0,0,0,0
27888,10844,0,0,0,0,0
27889,10841,0,0,0,0,0
27887,10843,0,0,0,0,0
27886,10845,0,0,0,0,0
27884,10846,0,0,0,0,0
27883,10847,0,0,0,0,0
27880,10849,0,0,0,0,0
27881,10849,0,0,0,0,0
27881,10850,0,0,0,0,0
27880,10852,0,0,0,0,0
27879,10854,0,0,0,0,0
27878,10855,0,0,0,0,0
27878,10853,0,0,0,0,0
27877,10856,0,0,0,0,0
27877,10855,0,0,0,0,0
27877,10855,0,0,0,0,0
27877,10859,0,0,0,0,0
27876,10860,0,0,0,0,0
27878,10862,0,0,0,0,0
27877,10865,0,0,0,0,0
27877,10867,0,0,0,0,0
27878,10869,0,0,0,0,0
27877,10871,0,0,0,0,0
27879,10873,0,0,0,0,0
27883,10874,0,0,0,0,0
27883,10873,0,0,0,0,0
27884,10872,0,0,0,0,0
27886,10872,0,0,0,0,0
27886,10872,0,0,0,0,0
27883,10872,0,0,0,0,0
27881,10875,0,0,0,0,0
27878,10876,0,0,0,0,0
27876,10877,0,0,0,0,0
27876,10879,0,0,0,0,0
27875,10880,0,0,0,0,0
27873,10882,0,0,0,0,0
27872,10883,0,0,0,0,0
27870,10885,0,0,0,0,0
27868,10885,0,0,0,0,0
27866,10885,0,0,0,0,0
27864,10887,0,0,0,0,0
27864,10888,0,0,0,0,0
27863,10890,0,0,0,0,0
27862,10892,0,0,0,0,0
27858,10893,0,0,0,0,0
27858,10895,0,0,0,0,0
27857,10895,0,0,0,0,0
27855,10894,0,0,0,0,0
27856,10895,0,0,0,0,0
27857,10895,0,0,0,0,0
27856,10895,0,0,0,0,0
27859,10894,0,0,0,0,0
27859,10894,0,0,0,0,0
27858,10894,0,0,0,0,0
27856,10893,0,0,0,0,0
27857,10894,0,0,0,0,0
27855,10890,0,0,0,0,0
27854,10887,0,0,0,0,0
27854,10890,0,0,0,0,0
27851,10891,0,0,0,0,0
27855,10892,0,0,0,0,0
27853,10890,0,0,0,0,0
27852,10891,0,0,0,0,0
27851,10890,0,0,0,0,0
27850,10890,0,0,0,0,0
27848,10889,0,0,0,0,0
27846,10889,0,0,0,0,0
27847,10891,0,0,0,0,0
27843,10889,0,0,0,0,0
27843,10889,0,0,0,0,0
27842,10893,0,0,0,0,0
27842,10894,0,0,0,0,0
27841,10894,0,0,0,0,0
27843,10895,0,0,0,0,0
27844,10892,0,0,0,0,0
27843,10891,0,0,0,0,0
27841,10892,0,0,0,0,0
27838,10893,0,0,0,0,0
27836,10895,0,0,0,0,0
27832,10896,0,0,0,0,0
27829,10897,0,0,0,0,0
27826,10899,0,0,0,0,0
27823,10901,0,0,0,0,0
27821,10904,0,0,0,0,0
27820,10905,0,0,0,0,0
27817,10908,0,0,0,0,0
27817,10909,0,0,0,0,0
27816,10907,0,0,0,0,0
27813,10908,0,0,0,0,0
27816,10907,0,0,0,0,0
27815,10910,0,0,0,0,0
27815,10910,0,0,0,0,0
27816,10911,0,0,0,0,0
27815,10913,0,0,0,0,0
27815,10915,0,0,0,0,0
27814,10917,0,0,0,0,0
27813,10920,0,0,0,0,0
27813,10923,0,0,0,0,0
27813,10926,0,0,0,0,0
27811,10929,0,0,0,0,0
27812,10932,0,0,0,0,0
27814,10932,0,0,0,0,0
27815,10930,0,0,0,0,0
27814,10933,0,0,0,0,0
27813,10935,0,0,0,0,0
27813,10933,0,0,0,0,0
27813,10932,0,0,0,0,0
27815,10935,0,0,0,0,0
27815,10941,0,0,0,0,0
27814,10942,0,0,0,0,0
27813,10945,0,0,0,0,0
27815,10949,0,0,0,0,0
27817,10951,0,0,0,0,0
27817,10955,0,0,0,0,0
27817,10959,0,0,0,0,0
27817,10960,0,0,0,0,0
27818,10964,0,0,0,0,0
27815,10966,0,0,0,0,0
27818,10965,0,0,0,0,0
27816,10966,0,0,0,0,0
27816,10966,0,0,0,0,0
27819,10965,0,0,0,0,0
27821,10966,0,0,0,0,0
27823,10968,0,0,0,0,0
27824,10971,0,0,0,0,0
27824,10971,0,0,0,0,0
27823,10968,0,0,0,0,0
27824,10966,0,0,0,0,0
27822,10966,0,0,0,0,0
27823,10963,0,0,0,0,0
27822,10966,0,0,0,0,0
27823,10970,0,0,0,0,0
27825,10970,0,0,0,0,0
27825,10970,0,0,0,0,0
27824,10971,0,0,0,0,0
27825,10971,0,0,0,0,0
27824,10970,0,0,0,0,0
27824,10968,0,0,0,0,0
27825,10968,0,0,0,0,0
27824,10970,0,0,0,0,0
27823,10970,0,0,0,0,0
27825,10971,0,0,0,0,0
27826,10971,0,0,0,0,0
27827,10970,0,0,0,0,0
27830,10969,0,0,0,0,0
27828,10971,0,0,0,0,0
27826,10969,0,0,0,0,0
27826,10968,0,0,0,0,0
27827,10968,0,0,0,0,0
27827,10968,0,0,0,0,0
27828,10967,0,0,0,0,0
27829,10965,0,0,0,0,0
27830,10964,0,0,0,0,0
27833,10962,0,0,0,0,0
27836,10958,0,0,0,0,0
27839,10955,0,0,0,0,0
27839,10952,0,0,0,0,0
27840,10951,0,0,0,0,0
27841,10947,0,0,0,0,0
27842,10943,0,0,0,0,0
27841,10940,0,0,0,0,0
27842,10937,0,0,0,0,0
27842,10935,0,0,0,0,0
27843,10937,0,0,0,0,0
27841,10937,0,0,0,0,0
27840,10939,0,0,0,0,0
27838,10943,0,0,0,0,0
27838,10944,0,0,0,0,0
27838,10941,0,0,0,0,0
27839,10940,0,0,0,0,0
27840,10936,0,0,0,0,0
27839,10931,0,0,0,0,0
27839,10926,0,0,0,0,0
27837,10925,0,0,0,0,0
27836,10924,0,0,0,0,0
27834,10921,0,0,0,0,0
27833,10919,0,0,0,0,0
27831,10915,0,0,0,0,0
27829,10913,0,0,0,0,0
27827,10912,0,0,0,0,0
27823,10908,0,0,0,0,0
27821,10905,0,0,0,0,0
27818,10903,0,0,0,0,0
27814,10899,0,0,0,0,0
27812,10895,0,0,0,0,0
27808,10894,0,0,0,0,0
27804,10891,0,0,0,0,0
27798,10887,0,0,0,0,0
27795,10890,0,0,0,0,0
27789,10888,0,0,0,0,0
27786,10887,0,0,0,0,0
27783,10887,0,0,0,0,0
27782,10889,0,0,0,0,0
27781,10891,0,0,0,0,0
27777,10894,0,0,0,0,0
27775,10897,0,0,0,0,0
27773,10900,0,0,0,0,0
27771,10903,0,0,0,0,0
27768,10906,0,0,0,0,0
27765,10908,0,0,0,0,0
27762,10910,0,0,0,0,0
27760,10912,0,0,0,0,0
27757,10914,0,0,0,0,0
27754,10910,0,0,0,0,0
27754,10910,0,0,0,0,0
27756,10909,0,0,0,0,0
27757,10912,0,0,0,0,0
27760,10912,0,0,0,0,0
27754,10919,0,0,0,0,0
27753,10919,0,0,0,0,0
27751,10922,0,0,0,0,0
27749,10925,0,0,0,0,0
27747,10931,0,0,0,0,0
27746,10932,0,0,0,0,0
27744,10937,0,0,0,0,0
27743,10939,0,0,0,0,0
27742,10941,0,0,0,0,0
27743,10943,0,0,0,0,0
27743,10944,0,0,0,0,0
27743,10947,0,0,0,0,0
27743,10950,0,0,0,0,0
27743,10953,0,0,0,0,0
27744,10955,0,0,0,0,0
27743,10956,0,0,0,0,0
27747,10955,0,0,0,0,0
27746,10953,0,0,0,0,0
27746,10952,0,0,0,0,0
27744,10951,0,0,0,0,0
27746,10951,0,0,0,0,0
27744,10952,0,0,0,0,0
27746,10952,0,0,0,0,0
27746,10951,0,0,0,0,0
27745,10950,0,0,0,0,0
27744,10948,0,0,0,0,0
27743,10946,0,0,0,0,0
27742,10947,0,0,0,0,0
27744,10952,0,0,0,0,0
27742,10955,0,0,0,0,0
27744,10957,0,0,0,0,0
27745,10959,0,0,0,0,0
27750,10962,0,0,0,0,0
27754,10964,0,0,0,0,0
27757,10962,0,0,0,0,0
27758,10962,0,0,0,0,0
27758,10962,0,0,0,0,0
27755,10963,0,0,0,0,0
27754,10965,0,0,0,0,0
27750,10968,0,0,0,0,0
27751,10967,0,0,0,0,0
27753,10967,0,0,0,0,0
27754,10967,0,0,0,0,0
27757,10968,0,0,0,0,0
27758,10969,0,0,0,0,0
27758,10969,0,0,0,0,0
27757,10969,0,0,0,0,0
27757,10968,0,0,0,0,0
27759,10968,0,0,0,0,0
27757,10967,0,0,0,0,0
27757,10966,0,0,0,0,0
27758,10966,0,0,0,0,0
27755,10964,0,0,0,0,0
27757,10963,0,0,0,0,0
27758,10962,0,0,0,0,0
27758,10962,0,0,0,0,0
27759,10963,0,0,0,0,0
27759,10962,0,0,0,0,0
27760,10964,0,0,0,0,0
27758,10962,0,0,0,0,0
27758,10963,0,0,0,0,0
27758,10964,0,0,0,0,0
27758,10964,0,0,0,0,0
27758,10964,0,0,0,0,0
27758,10964,0,0,0,0,0
27758,10964,0,0,0,0,0
27759,10964,0,0,0,0,0
27759,10964,0,0,0,0,0
27759,10966,0,0,0,0,0
27760,10966,0,0,0,0,0
27760,10964,0,0,0,0,0
27760,10965,0,0,0,0,0
27760,10964,0,0,0,0,0
27761,10963,0,0,0,0,0
27761,10964,0,0,0,0,0
27760,10965,0,0,0,0,0
27760,10965,0,0,0,0,0
27760,10965,0,0,0,0,0
27759,10965,0,0,0,0,0
27760,10965,0,0,0,0,0
27760,10964,0,0,0,0,0
27761,10964,0,0,0,0,0
27762,10964,0,0,0,0,0
27763,10964,0,0,0,0,0
27762,10963,0,0,0,0,0
27763,10964,0,0,0,0,0
27762,10964,0,0,0,0,0
27764,10962,0,0,0,0,0
27763,10964,0,0,0,0,0
27763,10963,0,0,0,0,0
27767,10965,0,0,0,0,0
27770,10968,0,0,0,0,0
27773,10970,0,0,0,0,0
27773,10972,0,0,0,0,0
27775,10976,0,0,0,0,0
27776,10975,0,0,0,0,0
27777,10977,0,0,0,0,0
27778,10982,0,0,0,0,0
27780,10982,0,0,0,0,0
27782,10985,0,0,0,0,0
27783,10990,0,0,0,0,0
27782,10990,0,0,0,0,0
27782,10992,0,0,0,0,0
27781,10990,0,0,0,0,0
27782,10988,0,0,0,0,0
27780,10986,0,0,0,0,0
27780,10987,0,0,0,0,0
27783,10989,0,0,0,0,0
27783,10990,0,0,0,0,0
27782,10989,0,0,0,0,0
27783,10990,0,0,0,0,0
27783,10995,0,0,0,0,0
27780,10997,0,0,0,0,0
27778,10998,0,0,0,0,0
27776,11000,0,0,0,0,0
27777,10997,0,0,0,0,0
27776,10994,0,0,0,0,0
27777,10993,0,0,0,0,0
27778,10993,0,0,0,0,0
27777,10993,0,0,0,0,0
27776,10994,0,0,0,0,0
27775,10996,0,0,0,0,0
27774,10996,0,0,0,0,0
27771,10998,0,0,0,0,0
27772,11000,0,0,0,0,0
27772,10998,0,0,0,0,0
27772,10997,0,0,0,0,0
27768,10998,0,0,0,0,0
27769,10999,0,0,0,0,0
27767,10999,0,0,0,0,0
27764,10998,0,0,0,0,0
27764,10996,0,0,0,0,0
27763,10995,0,0,0,0,0
27758,10996,0,0,0,0,0
27754,10996,0,0,0,0,0
27751,10997,0,0,0,0,0
27749,10997,0,0,0,0,0
27748,10997,0,0,0,0,0
27745,10997,0,0,0,0,0
27743,10998,0,0,0,0,0
27741,10997,0,0,0,0,0
27738,10996,0,0,0,0,0
27736,10996,0,0,0,0,0
27735,10994,0,0,0,0,0
27733,10993,0,0,0,0,0
27732,10992,0,0,0,0,0
27735,10992,0,0,0,0,0
27732,10988,0,0,0,0,0
27730,10988,0,0,0,0,0
27727,10985,0,0,0,0,0
27723,10983,0,0,0,0,0
27720,10980,0,0,0,0,0
27719,10979,0,0,0,0,0
27716,10977,0,0,0,0,0
27711,10976,0,0,0,0,0
27708,10974,0,0,0,0,0
27706,10971,0,0,0,0,0
27704,10968,0,0,0,0,0
27702,10968,0,0,0,0,0
27701,10966,0,0,0,0,0
27699,10967,0,0,0,0,0
27696,10968,0,0,0,0,0
27696,10966,0,0,0,0,0
27695,10965,0,0,0,0,0
27696,10966,0,0,0,0,0
27699,10965,0,0,0,0,0
27697,10960,0,0,0,0,0
27697,10959,0,0,0,0,0
27695,10961,0,0,0,0,0
27695,10960,0,0,0,0,0
27695,10960,0,0,0,0,0
27696,10961,0,0,0,0,0
27698,10962,0,0,0,0,0
27697,10964,0,0,0,0,0
27697,10967,0,0,0,0,0
27696,10965,0,0,0,0,0
27692,10965,0,0,0,0,0
27691,10966,0,0,0,0,0
27690,10969,0,0,0,0,0
27686,10969,0,0,0,0,0
27683,10970,0,0,0,0,0
27679,10969,0,0,0,0,0
27676,10966,0,0,0,0,0
27674,10965,0,0,0,0,0
27674,10965,0,0,0,0,0
27676,10968,0,0,0,0,0
27675,10971,0,0,0,0,0
27674,10972,0,0,0,0,0
27667,10971,0,0,0,0,0
27667,10971,0,0,0,0,0
27667,10971,0,0,0,0,0
27667,10971,0,0,0,0,0
27667,10970,0,0,0,0,0
27666,10971,0,0,0,0,0
27668,10972,0,0,0,0,0
27666,10971,0,0,0,0,0
27665,10971,0,0,0,0,0
27666,10969,0,0,0,0,0
27667,10967,0,0,0,0,0
27662,10966,0,0,0,0,0
27720,10942,0,0,0,0,0
27720,10941,0,0,0,0,0
27716,10940,0,0,0,0,0
27713,10941,0,0,0,0,0
27716,10940,0,0,0,0,0
27715,10942,0,0,0,0,0
27712,10942,0,0,0,0,0
27710,10941,0,0,0,0,0
27712,10940,0,0,0,0,0
27715,10941,0,0,0,0,0
27718,10940,0,0,0,0,0
27719,10940,0,0,0,0,0
27721,10940,0,0,0,0,0
27718,10940,0,0,0,0,0
27719,10940,0,0,0,0,0
27720,10939,0,0,0,0,0
27720,10940,0,0,0,0,0
27719,10940,0,0,0,0,0
27718,10940,0,0,0,0,0
27719,10940,0,0,0,0,0
27721,10941,0,0,0,0,0
27719,10940,0,0,0,0,0
27720,10941,0,0,0,0,0
27719,10940,0,0,0,0,0
27718,10940,0,0,0,0,0
27717,10941,0,0,0,0,0
27719,10940,0,0,0,0,0
27718,10940,0,0,0,0,0
27718,10940,0,0,0,0,0
27715,10941,0,0,0,0,0
27714,10944,0,0,0,0,0
27713,10945,0,0,0,0,0
27713,10942,0,0,0,0,0
27711,10946,0,0,0,0,0
27704,10945,0,0,0,0,0
27699,10947,0,0,0,0,0
27696,10949,0,0,0,0,0
27694,10950,0,0,0,0,0
27690,10954,0,0,0,0,0
27686,10954,0,0,0,0,0
27682,10953,0,0,0,0,0
27680,10949,0,0,0,0,0
27680,10950,0,0,0,0,0
27680,10949,0,0,0,0,0
27679,10949,0,0,0,0,0
27680,10945,0,0,0,0,0
27679,10948,0,0,0,0,0
27680,10950,0,0,0,0,0
27679,10948,0,0,0,0,0
27681,10947,0,0,0,0,0
27681,10950,0,0,0,0,0
27678,10948,0,0,0,0,0
27678,10947,0,0,0,0,0
27679,10946,0,0,0,0,0
27680,10946,0,0,0,0,0
27679,10946,0,0,0,0,0
27678,10946,0,0,0,0,0
27679,10945,0,0,0,0,0
27679,10945,0,0,0,0,0
27678,10945,0,0,0,0,0
27677,10944,0,0,0,0,0
27674,10945,0,0,0,0,0
27672,10943,0,0,0,0,0
27671,10943,0,0,0,0,0
27672,10943,0,0,0,0,0
27671,10943,0,0,0,0,0
27673,10943,0,0,0,0,0
27672,10943,0,0,0,0,0
27672,10944,0,0,0,0,0
27671,10943,0,0,0,0,0
27672,10942,0,0,0,0,0
27671,10943,0,0,0,0,0
27673,10945,0,0,0,0,0
27672,10944,0,0,0,0,0
27672,10946,0,0,0,0,0
27675,10946,0,0,0,0,0
27677,10946,0,0,0,0,0
27677,10947,0,0,0,0,0
27676,10947,0,0,0,0,0
27677,10947,0,0,0,0,0
27676,10946,0,0,0,0,0
27677,10947,0,0,0,0,0
27679,10948,0,0,0,0,0
27680,10949,0,0,0,0,0
27679,10948,0,0,0,0,0
27680,10949,0,0,0,0,0
27679,10948,0,0,0,0,0
27678,10948,0,0,0,0,0
27678,10948,0,0,0,0,0
27682,10950,0,0,0,0,0
27680,10949,0,0,0,0,0
27680,10948,0,0,0,0,0
27677,10947,0,0,0,0,0
27680,10946,0,0,0,0,0
27679,10948,0,0,0,0,0
27680,10948,0,0,0,0,0
27680,10948,0,0,0,0,0
27681,10947,0,0,0,0,0
27681,10947,0,0,0,0,0
27679,10945,0,0,0,0,0
27568,10973,0,0,0,0,0
27567,10973,0,0,0,0,0
27569,10974,0,0,0,0,0
27571,10975,0,0,0,0,0
27572,10974,0,0,0,0,0
27573,10975,0,0,0,0,0
27574,10974,0,0,0,0,0
27575,10974,0,0,0,0,0
27576,10973,0,0,0,0,0
27578,10976,0,0,0,0,0
27580,10976,0,0,0,0,0
27582,10978,0,0,0,0,0
27583,10977,0,0,0,0,0
27584,10978,0,0,0,0,0
27585,10977,0,0,0,0,0
27588,10978,0,0,0,0,0
27589,10978,0,0,0,0,0
27592,10978,0,0,0,0,0
27594,10978,0,0,0,0,0
27596,10978,0,0,0,0,0
27598,10977,0,0,0,0,0
27601,10976,0,0,0,0,0
27603,10975,0,0,0,0,0
27605,10976,0,0,0,0,0
27608,10977,0,0,0,0,0
27610,10976,0,0,0,0,0
27613,10977,0,0,0,0,0
27612,10983,0,0,0,0,0
27610,10984,0,0,0,0,0
27608,10988,0,0,0,0,0
27607,10993,0,0,0,0,0
27604,10999,0,0,0,0,0
27607,11002,0,0,0,0,0
27605,11003,0,0,0,0,0
27603,11007,0,0,0,0,0
27602,11009,0,0,0,0,0
27599,11013,0,0,0,0,0
27597,11014,0,0,0,0,0
27591,11015,0,0,0,0,0
27583,11014,0,0,0,0,0
27575,11014,0,0,0,0,0
27570,11013,0,0,0,0,0
27565,11015,0,0,0,0,0
27563,11019,0,0,0,0,0
27556,11018,0,0,0,0,0
27556,11018,0,0,0,0,0
27556,11017,0,0,0,0,0
27556,11018,0,0,0,0,0
27556,11018,0,0,0,0,0
27557,11017,0,0,0,0,0
27556,11018,0,0,0,0,0
27556,11018,0,0,0,0,0
27556,11018,0,0,0,0,0
27557,11017,0,0,0,0,0
27558,11017,0,0,0,0,0
27557,11017,0,0,0,0,0
27558,11017,0,0,0,0,0
27558,11018,0,0,0,0,0
27558,11019,0,0,0,0,0
27558,11018,0,0,0,0,0
27559,11018,0,0,0,0,0
27559,11018,0,0,0,0,0
27559,11018,0,0,0,0,0
27560,11018,0,0,0,0,0
27560,11017,0,0,0,0,0
27560,11019,0,0,0,0,0
27560,11018,0,0,0,0,0
27560,11018,0,0,0,0,0
27559,11018,0,0,0,0,0
27559,11018,0,0,0,0,0
