# x,y,<bush>,<cookie>,<shadow>,<visibility>
28094,10855,0,0,0,0
28100,10857,0,0,0,0
28101,10858,0,0,0,0
28101,10858,0,0,0,0
28100,10858,0,0,0,0
28100,10859,0,0,0,0
28100,10858,0,0,0,0
28100,10858,0,0,0,0
28100,10858,0,0,0,0
28100,10858,0,0,0,0
28101,10859,0,0,0,0
28101,10859,0,0,0,0
28101,10859,0,0,0,0
28101,10859,0,0,0,0
28101,10858,0,0,0,0
28101,10858,0,0,0,0
28101,10858,0,0,0,0
28100,10858,0,0,0,0
28099,10858,0,0,0,0
28097,10858,0,0,0,0
28096,10858,0,0,0,0
28096,10858,0,0,0,0
28095,10858,0,0,0,0
28094,10859,0,0,0,0
28094,10859,0,0,0,0
28094,10859,0,0,0,0
28093,10858,0,0,0,0
28093,10858,0,0,0,0
28093,10858,0,0,0,0
28091,10856,0,0,0,0
28090,10855,0,0,0,0
28088,10853,0,0,0,0
28089,10854,0,0,0,0
28090,10855,0,0,0,0
28088,10856,0,0,0,0
28087,10856,0,0,0,0
28083,10856,0,0,0,0
28079,10856,0,0,0,0
28078,10856,0,0,0,0
28077,10855,0,0,0,0
28076,10855,0,0,0,0
28076,10855,0,0,0,0
28078,10855,0,0,0,0
28078,10855,0,0,0,0
28077,10854,0,0,0,0
28077,10854,0,0,0,0
28076,10853,0,0,0,0
28076,10853,0,0,0,0
28076,10852,0,0,0,0
28077,10853,0,0,0,0
28082,10854,0,0,0,0
28079,10854,0,0,0,0
28078,10854,0,0,0,0
28077,10853,0,0,0,0
28076,10852,0,0,0,0
28074,10852,0,0,0,0
28074,10852,0,0,0,0
28073,10851,0,0,0,0
28073,10851,0,0,0,0
28072,10850,0,0,0,0
28069,10848,0,0,0,0
28061,10846,0,0,0,0
28057,10845,0,0,0,0
28054,10845,0,0,0,0
28050,10844,0,0,0,0
28046,10842,0,0,0,0
28040,10842,0,0,0,0
28035,10841,0,0,0,0
28030,10841,0,0,0,0
28025,10843,0,0,0,0
28019,10842,0,0,0,0
28015,10843,0,0,0,0
28015,10841,0,0,0,0
28010,10839,0,0,0,0
28006,10842,0,0,0,0
28003,10842,0,0,0,0
27998,10841,0,0,0,0
27997,10843,0,0,0,0
27999,10840,0,0,0,0
28000,10842,0,0,0,0
28000,10844,0,0,0,0
28000,10844,0,0,0,0
28001,10844,0,0,0,0
28002,10842,0,0,0,0
28000,10844,0,0,0,0
27997,10843,0,0,0,0
27995,10844,0,0,0,0
27992,10842,0,0,0,0
27988,10838,0,0,0,0
27986,10838,0,0,0,0
27986,10839,0,0,0,0
27986,10840,0,0,0,0
27986,10840,0,0,0,0
27984,10841,0,0,0,0
27983,10842,0,0,0,0
27983,10842,0,0,0,0
27983,10842,0,0,0,0
27983,10842,0,0,0,0
27983,10842,0,0,0,0
27979,10837,0,0,0,0
27991,10851,0,0,0,0
27990,10849,0,0,0,0
27987,10847,0,0,0,0
27989,10842,0,0,0,0
27986,10840,0,0,0,0
27987,10839,0,0,0,0
27987,10841,0,0,0,0
27985,10842,0,0,0,0
27984,10843,0,0,0,0
27982,10843,0,0,0,0
27983,10844,0,0,0,0
27982,10845,0,0,0,0
27979,10845,0,0,0,0
27979,10846,0,0,0,0
27979,10846,0,0,0,0
27977,10846,0,0,0,0
27976,10847,0,0,0,0
27976,10846,0,0,0,0
27973,10848,0,0,0,0
27972,10846,0,0,0,0
27972,10845,0,0,0,0
27977,10845,0,0,0,0
27977,10846,0,0,0,0
27976,10846,0,0,0,0
27978,10847,0,0,0,0
27976,10846,0,0,0,0
27977,10845,0,0,0,0
27977,10846,0,0,0,0
27977,10848,0,0,0,0
27976,10846,0,0,0,0
27976,10848,0,0,0,0
27977,10848,0,0,0,0
27977,10848,0,0,0,0
27980,10848,0,0,0,0
27981,10847,0,0,0,0
27978,10847,0,0,0,0
27979,10848,0,0,0,0
27979,10848,0,0,0,0
27977,10846,0,0,0,0
27976,10847,0,0,0,0
27977,10846,0,0,0,0
27977,10842,0,0,0,0
27978,10840,0,0,0,0
27975,10837,0,0,0,0
27975,10835,0,0,0,0
27971,10833,0,0,0,0
27967,10835,0,0,0,0
27966,10837,0,0,0,0
27968,10839,0,0,0,0
27968,10839,0,0,0,0
27968,10838,0,0,0,0
27974,10838,0,0,0,0
27977,10837,0,0,0,0
27978,10836,0,0,0,0
27976,10835,0,0,0,0
27974,10832,0,0,0,0
27970,10828,0,0,0,0
27965,10827,0,0,0,0
27961,10824,0,0,0,0
27957,10821,0,0,0,0
27953,10818,0,0,0,0
27952,10813,0,0,0,0
27951,10808,0,0,0,0
27950,10805,0,0,0,0
27947,10801,0,0,0,0
27945,10799,0,0,0,0
27942,10796,0,0,0,0
27942,10793,0,0,0,0
27938,10791,0,0,0,0
27931,10790,0,0,0,0
27926,10787,0,0,0,0
27921,10784,0,0,0,0
27916,10780,0,0,0,0
27912,10778,0,0,0,0
27907,10775,0,0,0,0
27903,10771,0,0,0,0
27900,10767,0,0,0,0
27896,10765,0,0,0,0
27892,10761,0,0,0,0
27888,10759,0,0,0,0
27882,10756,0,0,0,0
27877,10753,0,0,0,0
27873,10749,0,0,0,0
27870,10746,0,0,0,0
27868,10742,0,0,0,0
27864,10740,0,0,0,0
27861,10737,0,0,0,0
27856,10733,0,0,0,0
27849,10730,0,0,0,0
27844,10726,0,0,0,0
27842,10724,0,0,0,0
27835,10721,0,0,0,0
27829,10719,0,0,0,0
27823,10717,0,0,0,0
27816,10717,0,0,0,0
27815,10718,0,0,0,0
27812,10720,0,0,0,0
27812,10718,0,0,0,0
27812,10715,0,0,0,0
27814,10712,0,0,0,0
27822,10715,0,0,0,0
27817,10717,0,0,0,0
27815,10716,0,0,0,0
27816,10717,0,0,0,0
27816,10717,0,0,0,0
27808,10716,0,0,0,0
27806,10713,0,0,0,0
27802,10710,0,0,0,0
27794,10708,0,0,0,0
27790,10704,0,0,0,0
27785,10699,0,0,0,0
27779,10697,0,0,0,0
27773,10694,0,0,0,0
27768,10693,0,0,0,0
27763,10690,0,0,0,0
27757,10686,0,0,0,0
27752,10685,0,0,0,0
27750,10681,0,0,0,0
27745,10678,0,0,0,0
27739,10674,0,0,0,0
27736,10669,0,0,0,0
27732,10665,0,0,0,0
27726,10661,0,0,0,0
27723,10660,0,0,0,0
27719,10658,0,0,0,0
27715,10657,0,0,0,0
27713,10656,0,0,0,0
27706,10653,0,0,0,0
27701,10650,0,0,0,0
27695,10648,0,0,0,0
27690,10645,0,0,0,0
27686,10640,0,0,0,0
27682,10637,0,0,0,0
27679,10634,0,0,0,0
27675,10633,0,0,0,0
27670,10630,0,0,0,0
27667,10627,0,0,0,0
27665,10624,0,0,0,0
27661,10622,0,0,0,0
27660,10623,0,0,0,0
27657,10621,0,0,0,0
27652,10619,0,0,0,0
27646,10616,0,0,0,0
27643,10614,0,0,0,0
27640,10613,0,0,0,0
27637,10615,0,0,0,0
27637,10612,0,0,0,0
27633,10609,0,0,0,0
27630,10608,0,0,0,0
27627,10607,0,0,0,0
27622,10605,0,0,0,0
27618,10603,0,0,0,0
27614,10599,0,0,0,0
27611,10596,0,0,0,0
