# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
27997,10760,0,0,0,0,0,1
27995,10764,0,0,0,0,0,1
27994,10765,0,0,0,0,0,1
27993,10765,0,0,0,0,0,1
27992,10765,0,0,0,0,0,1
27994,10767,0,0,0,0,0,1
27994,10768,0,0,0,0,0,1
27992,10769,0,0,0,0,0,1
27989,10771,0,0,0,0,0,1
27987,10773,0,0,0,0,0,1
27983,10772,0,0,0,0,0,1
27982,10773,0,0,0,0,0,1
27980,10774,0,0,0,0,0,1
27976,10776,0,0,0,0,0,1
27977,10778,0,0,0,0,0,1
27978,10776,0,0,0,0,0,1
27980,10776,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10778,0,0,0,0,0,1
27978,10779,0,0,0,0,0,1
27977,10781,0,0,0,0,0,1
27972,10786,0,0,0,0,0,1
27972,10791,0,0,0,0,0,1
27971,10791,0,0,0,0,0,1
27973,10788,0,0,0,0,0,1
27974,10792,0,0,0,0,0,1
27975,10793,0,0,0,0,0,1
27975,10793,0,0,0,0,0,1
27975,10794,0,0,0,0,0,1
27974,10798,0,0,0,0,0,1
27977,10796,0,0,0,0,0,1
27975,10794,0,0,0,0,0,1
27972,10793,0,0,0,0,0,1
27972,10791,0,0,0,0,0,1
27966,10793,0,0,0,0,0,1
27966,10792,0,0,0,0,0,1
27964,10792,0,0,0,0,0,1
27967,10794,0,0,0,0,0,1
27966,10793,0,0,0,0,0,1
27969,10793,0,0,0,0,0,1
27970,10793,0,0,0,0,0,1
27970,10790,0,0,0,0,0,1
27970,10792,0,0,0,0,0,1
27971,10790,0,0,0,0,0,1
27970,10792,0,0,0,0,0,1
27971,10792,0,0,0,0,0,1
27969,10790,0,0,0,0,0,1
27967,10793,0,0,0,0,0,1
27966,10793,0,0,0,0,0,1
27967,10793,0,0,0,0,0,1
27969,10794,0,0,0,0,0,1
27968,10794,0,0,0,0,0,1
27968,10793,0,0,0,0,0,1
27967,10794,0,0,0,0,0,1
27967,10795,0,0,0,0,0,1
27966,10796,0,0,0,0,0,1
27967,10794,0,0,0,0,0,1
27966,10791,0,0,0,0,0,1
27966,10793,0,0,0,0,0,1
27966,10795,0,0,0,0,0,1
27966,10796,0,0,0,0,0,1
27965,10796,0,0,0,0,0,1
27966,10795,0,0,0,0,0,1
27965,10796,0,0,0,0,0,1
27961,10797,0,0,0,0,0,1
27961,10801,0,0,0,0,0,1
27961,10802,0,0,0,0,0,1
27959,10800,0,0,0,0,0,1
27959,10796,0,0,0,0,0,1
27957,10796,0,0,0,0,0,1
27957,10795,0,0,0,0,0,1
27956,10799,0,0,0,0,0,1
27952,10801,0,0,0,0,0,1
27953,10801,0,0,0,0,0,1
27952,10801,0,0,0,0,0,1
27957,10798,0,0,0,0,0,1
27960,10801,0,0,0,0,0,1
27962,10805,0,0,0,0,0,1
27960,10805,0,0,0,0,0,1
27957,10806,0,0,0,0,0,1
27953,10804,0,0,0,0,0,1
27951,10801,0,0,0,0,0,1
27952,10801,0,0,0,0,0,1
27952,10801,0,0,0,0,0,1
27954,10803,0,0,0,0,0,1
27959,10805,0,0,0,0,0,1
27964,10808,0,0,0,0,0,1
27964,10808,0,0,0,0,0,1
27963,10808,0,0,0,0,0,1
27962,10808,0,0,0,0,0,1
27959,10809,0,0,0,0,0,1
27963,10810,0,0,0,0,0,1
27965,10811,0,0,0,0,0,1
27967,10812,0,0,0,0,0,1
27969,10813,0,0,0,0,0,1
27970,10816,0,0,0,0,0,1
27969,10817,0,0,0,0,0,1
27970,10820,0,0,0,0,0,1
27970,10820,0,0,0,0,0,1
27969,10823,0,0,0,0,0,1
27970,10824,0,0,0,0,0,1
27969,10823,0,0,0,0,0,1
27966,10818,0,0,0,0,0,1
27966,10821,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27968,10818,0,0,0,0,0,1
27967,10818,0,0,0,0,0,1
27967,10818,0,0,0,0,0,1
27967,10818,0,0,0,0,0,1
27967,10819,0,0,0,0,0,1
27966,10819,0,0,0,0,0,1
27966,10819,0,0,0,0,0,1
27966,10819,0,0,0,0,0,1
27966,10818,0,0,0,0,0,1
27966,10819,0,0,0,0,0,1
27966,10820,0,0,0,0,0,1
27965,10820,0,0,0,0,0,1
27966,10818,0,0,0,0,0,1
27971,10825,0,0,0,0,0,1
27967,10820,0,0,0,0,0,1
27965,10819,0,0,0,0,0,1
27965,10818,0,0,0,0,0,1
27965,10817,0,0,0,0,0,1
27966,10817,0,0,0,0,0,1
27968,10814,0,0,0,0,0,1
27966,10815,0,0,0,0,0,1
27966,10817,0,0,0,0,0,1
27966,10817,0,0,0,0,0,1
27965,10818,0,0,0,0,0,1
27966,10817,0,0,0,0,0,1
27967,10818,0,0,0,0,0,1
27970,10819,0,0,0,0,0,1
27970,10820,0,0,0,0,0,1
27971,10820,0,0,0,0,0,1
27973,10820,0,0,0,0,0,1
27975,10821,0,0,0,0,0,1
27976,10822,0,0,0,0,0,1
27976,10822,0,0,0,0,0,1
27977,10823,0,0,0,0,0,1
27977,10824,0,0,0,0,0,1
27975,10824,0,0,0,0,0,1
27971,10824,0,0,0,0,0,1
27970,10824,0,0,0,0,0,1
27973,10822,0,0,0,0,0,1
27975,10822,0,0,0,0,0,1
27975,10821,0,0,0,0,0,1
