# x,y,<bush>,<cookie>,<shadow>,<visibility>
28791,6879,0,1,0,0
28789,6876,0,1,0,0
28787,6875,0,1,0,0
28786,6877,0,1,0,0
28785,6879,0,1,0,0
28784,6882,0,1,0,0
28783,6884,0,1,0,0
28782,6886,0,1,0,0
28782,6887,0,1,0,0
28781,6889,0,1,0,0
28780,6891,0,1,0,0
28778,6892,0,1,0,0
28780,6893,0,1,0,0
28775,6893,0,1,0,0
28775,6890,0,1,0,0
28774,6892,0,1,0,0
28777,6891,0,1,0,0
28775,6891,0,1,0,0
28774,6890,0,1,0,0
28776,6889,0,1,0,0
28775,6889,0,1,0,0
28773,6890,0,1,0,0
28771,6890,0,1,0,0
28770,6891,0,1,0,0
28769,6890,0,1,0,0
28768,6893,0,1,0,0
28768,6893,0,1,0,0
28770,6894,0,1,0,0
28771,6893,0,1,0,0
28771,6893,0,1,0,0
28771,6894,0,1,0,0
28771,6895,0,1,0,0
28770,6896,0,1,0,0
28771,6898,0,1,0,0
28770,6900,0,1,0,0
28769,6902,0,1,0,0
28770,6904,0,1,0,0
28769,6906,0,1,0,0
28770,6909,0,1,0,0
28772,6911,0,1,0,0
28772,6912,0,1,0,0
28773,6913,0,1,0,0
28774,6913,0,1,0,0
28775,6915,0,1,0,0
28778,6916,0,1,0,0
28778,6918,0,1,0,0
28779,6920,0,1,0,0
28781,6922,0,1,0,0
28782,6923,0,1,0,0
28784,6925,0,1,0,0
28786,6928,0,1,0,0
28788,6932,0,1,0,0
28790,6936,0,1,0,0
28793,6939,0,1,0,0
28797,6941,0,1,0,0
28799,6943,0,1,0,0
28800,6945,0,1,0,0
28803,6947,0,1,0,0
28805,6949,0,1,0,0
28808,6952,0,1,0,0
28811,6955,0,1,0,0
28812,6957,0,1,0,0
28816,6960,0,1,0,0
28817,6962,0,1,0,0
28819,6965,0,1,0,0
28821,6969,0,1,0,0
28823,6972,0,1,0,0
28824,6976,0,1,0,0
28827,6979,0,1,0,0
28829,6982,0,1,0,0
28831,6985,0,1,0,0
28832,6988,0,1,0,0
28834,6992,0,1,0,0
28833,6995,0,1,0,0
28831,6999,0,1,0,0
28832,7003,0,1,0,0
28833,7007,0,1,0,0
28834,7011,0,1,0,0
28833,7016,0,1,0,0
28832,7021,0,1,0,0
