# x,y,<bush>,<cookie>,<shadow>,<visibility>
28234,10795,0,0,0,0
28234,10795,0,0,0,0
28233,10794,0,0,0,0
28234,10791,0,0,0,0
28233,10788,0,0,0,0
28234,10782,0,0,0,0
28235,10777,0,0,0,0
28236,10772,0,0,0,0
28237,10767,0,0,0,0
28238,10761,0,0,0,0
28234,10759,0,0,0,0
28232,10757,0,0,0,0
28234,10756,0,0,0,0
28236,10755,0,0,0,0
28237,10750,0,0,0,0
28239,10744,0,0,0,0
28239,10739,0,0,0,0
28239,10733,0,0,0,0
28240,10726,0,0,0,0
28240,10721,0,0,0,0
28240,10715,0,0,0,0
28241,10709,0,0,0,0
28241,10704,0,0,0,0
28240,10699,0,0,0,0
28240,10693,0,0,0,0
28243,10690,0,0,0,0
28242,10688,0,0,0,0
28244,10680,0,0,0,0
28245,10675,0,0,0,0
28246,10669,0,0,0,0
28245,10664,0,0,0,0
28245,10660,0,0,0,0
28245,10657,0,0,0,0
28245,10654,0,0,0,0
28241,10649,0,0,0,0
28238,10642,0,0,0,0
28235,10637,0,0,0,0
28230,10634,0,0,0,0
28227,10631,0,0,0,0
28226,10629,0,0,0,0
28225,10625,0,0,0,0
28224,10624,0,0,0,0
28223,10626,0,0,0,0
28224,10627,0,0,0,0
28221,10626,0,0,0,0
28222,10628,0,0,0,0
28223,10629,0,0,0,0
28222,10628,0,0,0,0
28221,10629,0,0,0,0
28221,10629,0,0,0,0
28218,10630,0,0,0,0
28214,10628,0,0,0,0
28210,10627,0,0,0,0
28208,10627,0,0,0,0
28206,10627,0,0,0,0
28207,10622,0,0,0,0
28204,10623,0,0,0,0
28199,10626,0,0,0,0
28190,10623,0,0,0,0
28183,10619,0,0,0,0
28176,10616,0,0,0,0
28171,10617,0,0,0,0
28163,10617,0,0,0,0
28155,10615,0,0,0,0
28145,10614,0,0,0,0
28140,10615,0,0,0,0
28133,10617,0,0,0,0
28126,10618,0,0,0,0
28115,10613,0,0,0,0
28104,10612,0,0,0,0
28092,10609,0,0,0,0
28079,10607,0,0,0,0
28068,10605,0,0,0,0
28058,10601,0,0,0,0
28045,10599,0,0,0,0
28034,10594,0,0,0,0
28025,10588,0,0,0,0
28016,10584,0,0,0,0
28007,10583,0,0,0,0
28000,10580,0,0,0,0
27995,10581,0,0,0,0
27989,10578,0,0,0,0
27981,10571,0,0,0,0
27972,10567,0,0,0,0
27966,10566,0,0,0,0
27960,10566,0,0,0,0
27953,10562,0,0,0,0
27945,10561,0,0,0,0
27938,10559,0,0,0,0
27929,10558,0,0,0,0
