# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28266,11135,0,0,0,1,0,1
28268,11136,0,0,0,1,0,1
28269,11136,0,0,0,1,0,1
28271,11139,0,0,0,1,0,1
28273,11143,0,0,0,1,0,1
28274,11148,0,0,0,1,0,1
28274,11153,0,0,0,1,0,1
28275,11157,0,0,0,1,0,1
28277,11161,0,0,0,1,0,1
28276,11167,0,0,0,1,0,1
28277,11172,0,0,0,1,0,1
28281,11173,0,0,0,1,0,1
28278,11175,0,0,0,1,0,1
28276,11181,0,0,0,1,0,1
28275,11187,0,0,0,1,0,1
28272,11190,0,0,0,1,0,1
28269,11194,0,0,0,1,0,1
28265,11197,0,0,0,0,0,1
28262,11201,0,0,0,0,0,1
28259,11205,0,0,0,0,0,1
28257,11211,0,0,0,0,0,1
28254,11215,0,0,0,0,0,1
28251,11219,0,0,0,0,0,1
28247,11221,0,0,0,0,0,1
28242,11222,0,0,0,0,0,1
28236,11221,0,0,0,0,0,1
28231,11221,0,0,0,0,0,1
28229,11222,0,0,0,0,0,1
28228,11222,0,0,0,0,0,1
28228,11222,0,0,0,0,0,1
28228,11222,0,0,0,0,0,1
28228,11222,0,0,0,0,0,1
28225,11224,0,0,0,0,0,1
28220,11225,0,0,0,0,0,1
28214,11224,0,0,0,0,0,1
28210,11227,0,0,0,0,0,1
28207,11229,0,0,0,0,0,1
28202,11231,0,0,0,0,0,1
28198,11233,0,0,0,0,0,1
28195,11237,0,0,0,0,0,1
28193,11243,0,0,0,0,0,1
28191,11248,0,0,0,0,0,1
28187,11252,0,0,0,0,0,1
28183,11255,0,0,0,0,0,1
28179,11258,0,0,0,0,0,1
28175,11262,0,0,0,0,0,1
28174,11269,0,0,0,0,0,1
28172,11272,0,0,0,0,0,1
28170,11275,0,0,0,0,0,1
28167,11278,0,0,0,0,0,1
28164,11282,0,0,0,0,0,1
28163,11287,0,0,0,0,0,1
28161,11293,0,0,0,0,0,1
28160,11297,0,0,0,0,0,1
28158,11300,0,0,0,0,0,1
28158,11301,0,0,0,0,0,1
28158,11302,0,0,0,0,0,1
28158,11304,0,0,0,0,0,1
28157,11304,0,0,0,0,0,1
28156,11303,0,0,0,0,0,1
28158,11305,0,0,0,0,0,1
28158,11305,0,0,0,0,0,1
28157,11308,0,0,0,0,0,1
28156,11312,0,0,0,0,0,1
28154,11316,0,0,0,0,0,1
28152,11316,0,0,0,0,0,1
28152,11315,0,0,0,0,0,1
28152,11315,0,0,0,0,0,1
28151,11315,0,0,0,0,0,1
28149,11316,0,0,0,0,0,1
28150,11316,0,0,0,0,0,1
28151,11315,0,0,0,0,0,1
28151,11313,0,0,0,0,0,1
28152,11313,0,0,0,0,0,1
28151,11316,0,0,0,0,0,1
28151,11319,0,0,0,0,0,1
28153,11319,0,0,0,0,0,1
28153,11323,0,0,0,0,0,1
28153,11328,0,0,0,0,0,1
28151,11329,0,0,0,0,0,1
28151,11331,0,0,0,0,0,1
28152,11333,0,0,0,0,0,1
28150,11333,0,0,0,0,0,1
28149,11333,0,0,0,0,0,1
28151,11334,0,0,0,0,0,1
28153,11334,0,0,0,0,0,1
28153,11335,0,0,0,0,0,1
28154,11334,0,0,0,0,0,1
28155,11336,0,0,0,0,0,1
28151,11336,0,0,0,0,0,1
28153,11337,0,0,0,0,0,1
28154,11338,0,0,0,0,0,1
28150,11339,0,0,0,0,0,1
28151,11343,0,0,0,0,0,1
28151,11344,0,0,0,0,0,1
28150,11344,0,0,0,0,0,1
28154,11345,0,0,0,0,0,1
28155,11344,0,0,0,0,0,1
28154,11344,0,0,0,0,0,1
28155,11342,0,0,0,0,0,1
28162,11332,0,0,0,0,0,1
28157,11340,0,0,0,0,0,1
28155,11343,0,0,0,0,0,1
28154,11344,0,0,0,0,0,1
28155,11343,0,0,0,0,0,1
28154,11344,0,0,0,0,0,1
28153,11343,0,0,0,0,0,1
28152,11345,0,0,0,0,0,1
28150,11347,0,0,0,0,0,1
28152,11345,0,0,0,0,0,1
28153,11345,0,0,0,0,0,1
28154,11346,0,0,0,0,0,1
28154,11346,0,0,0,0,0,1
28153,11347,0,0,0,0,0,1
28153,11345,0,0,0,0,0,1
